idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  ,           pref  
101  ,    ft.Full  ,       PW713  ,   ZNZ  ,18:35  ,  3A  ,   9  ,   PWA  ,        PW712  , ZNZ  ,19:05  ,    AT7  ,                 
102  ,    ft.Full  ,       PW715  ,   ZNZ  ,21:15  , J2A  ,   9  ,   PWB  ,        PW728  , JRO  ,22:20  ,    AT7  ,                 
103  ,    ft.Full  ,       PW723  ,   JRO  ,07:00  ,  H4  ,  14  ,   PWC  ,        PW722  , JRO  ,08:30  ,    AT7  ,                 
104  ,    ft.Full  ,       PW725  ,   JRO  ,19:20  , J2B  ,      ,   PWC  ,               ,      ,23:59  ,    AT7  ,                 
105  ,    ft.Full  ,       PW727  ,   JRO  ,15:15  ,  2B  ,   7  ,   PWC  ,        PW726  , JRO  ,16:50  ,    AT7  ,                 
106  ,    ft.Full  ,      TM4460  ,   APL  ,15:00  ,  4L  ,   4  ,        ,       TM4461  , APL  ,16:15  ,    E90  ,                 
107  ,    ft.Full  ,       WB450  ,   EBB  ,10:40  ,  2C  ,  14  , 9XRWJ  ,        WB450  , KGL  ,11:25  ,   B737  ,                 
108  ,    ft.Full  ,       WB452  ,   EBB  ,14:10  ,  4R  ,   9  , 9XRWL  ,        WB453  , EBB  ,14:50  ,   Q400  ,                 
109  ,    ft.Full  ,       WB460  ,   KGL  ,20:55  ,   9  ,  24  , 9XRWI  ,        WB460  , EBB  ,21:35  ,   CRJ9  ,                 
110  ,     ft.Arr  ,       KQ417  ,   EBB  ,22:15  , J2A  ,      ,   KYS  ,               , DAR  ,23:39  ,    E90  ,                 
111  ,    ft.Park  ,              ,   EBB  ,23:45  , J2A  ,      ,   KYS  ,               , DAR  ,06:09  ,    E90  ,                 
112  ,     ft.Dep  ,              ,   EBB  ,06:15  , J2A  , 20B  ,   KYS  ,        KQ480  , DAR  ,07:45  ,    E90  ,                 
113  ,     ft.Arr  ,       KQ444  ,   KGL  ,21:15  ,  J6  ,      ,   FFF  ,               , BJM  ,22:39  ,    E90  ,                 
114  ,    ft.Park  ,              ,   KGL  ,22:45  ,  J6  ,      ,   FFF  ,               , BJM  ,06:14  ,    E90  ,                 
115  ,     ft.Dep  ,              ,   KGL  ,06:20  ,  J6  ,  17  ,   FFF  ,        KQ448  , BJM  ,07:50  ,    E90  ,                 
116  ,     ft.Arr  ,       KQ619  ,   MBA  ,22:45  ,  2C  ,      ,   FFB  ,               , ABV  ,00:09  ,    E90  ,                 
117  ,    ft.Park  ,              ,   MBA  ,00:15  ,  2C  ,      ,   FFB  ,               , ABV  ,06:29  ,    E90  ,                 
118  ,     ft.Dep  ,              ,   MBA  ,06:35  ,  2C  ,   7  ,   FFB  ,        KQ536  , ABV  ,08:05  ,    E90  ,                 
119  ,     ft.Arr  ,       KQ487  ,   DAR  ,22:15  ,  2B  ,      ,   KYQ  ,               , JRO  ,23:39  ,    E90  ,                 
120  ,    ft.Park  ,              ,   DAR  ,23:45  ,  2B  ,      ,   KYQ  ,               , JRO  ,06:29  ,    E90  ,                 
121  ,     ft.Dep  ,              ,   DAR  ,06:35  ,  2B  ,   4  ,   KYQ  ,        KQ432  , JRO  ,08:05  ,    E90  ,                 
122  ,     ft.Arr  ,       PW725  ,   JRO  ,19:20  ,  3A  ,      ,   PWA  ,               , ZNZ  ,20:44  ,    AT7  ,                 
123  ,    ft.Park  ,              ,   JRO  ,20:50  ,  3A  ,      ,   PWA  ,               , ZNZ  ,06:34  ,    AT7  ,                 
124  ,     ft.Dep  ,              ,   JRO  ,06:40  ,  3A  ,   8  ,   PWA  ,        PW710  , ZNZ  ,08:10  ,    AT7  ,                 
125  ,     ft.Arr  ,       KQ257  ,   TNR  ,20:15  ,   9  ,      ,   FFC  ,               , HRE  ,21:39  ,    E90  ,                 
126  ,    ft.Park  ,              ,   TNR  ,21:45  ,   9  ,      ,   FFC  ,               , HRE  ,06:34  ,    E90  ,                 
127  ,     ft.Dep  ,              ,   TNR  ,06:40  ,   9  ,   9  ,   FFC  ,        KQ706  , HRE  ,08:10  ,    E90  ,                 
128  ,     ft.Arr  ,       KQ542  ,   COO  ,20:55  ,  12  ,      ,   CYA  ,               , LOS  ,22:19  ,   B738  ,                 
129  ,    ft.Park  ,              ,   COO  ,22:25  ,  12  ,      ,   CYA  ,               , LOS  ,06:39  ,   B738  ,                 
130  ,     ft.Dep  ,              ,   COO  ,06:45  ,  12  ,  12  ,   CYA  ,        KQ532  , LOS  ,08:15  ,   B738  ,                 
131  ,     ft.Arr  ,       KQ485  ,   DAR  ,19:20  ,  4L  ,      ,   KYR  ,               , LLW  ,20:44  ,    E90  ,                 
132  ,    ft.Park  ,              ,   DAR  ,20:50  ,  20  ,      ,   KYR  ,               , LLW  ,06:44  ,    E90  ,                 
133  ,     ft.Dep  ,              ,   DAR  ,06:50  ,  20  ,  20  ,   KYR  ,        KQ730  , LLW  ,08:20  ,    E90  ,                 
134  ,     ft.Arr  ,      KQ8665  ,   EDL  ,19:10  ,  H5  ,      ,   QUE  ,               , UKU  ,20:34  ,    AT7  ,                 
135  ,    ft.Park  ,              ,   EDL  ,20:40  ,  H5  ,      ,   QUE  ,               , UKU  ,07:54  ,    AT7  ,                 
136  ,     ft.Dep  ,              ,   EDL  ,08:00  ,  H5  ,  10  ,   QUE  ,       KQ8690  , UKU  ,09:30  ,    AT7  ,                 
137  ,     ft.Arr  ,      KQ8603  ,   MBA  ,12:25  ,SPV2  ,      ,   KQB  ,               , MBA  ,13:49  ,   B73J  ,                 
138  ,    ft.Park  ,              ,   MBA  ,13:55  ,  4R  ,      ,   KQB  ,               , MBA  ,09:44  ,   B73J  ,                 
139  ,     ft.Dep  ,              ,   MBA  ,09:50  ,  4R  ,   2  ,   KQB  ,       KQ8604  , MBA  ,11:20  ,   B73J  ,                 
140  ,     ft.Arr  ,       KQ704  ,   LUN  ,20:40  ,  3C  ,      ,   FFD  ,               , MPM  ,22:04  ,    E90  ,                 
141  ,    ft.Park  ,              ,   LUN  ,22:10  ,  3C  ,      ,   FFD  ,               , MPM  ,10:34  ,    E90  ,                 
142  ,     ft.Dep  ,              ,   LUN  ,10:40  ,  3C  ,  24  ,   FFD  ,        KQ740  , MPM  ,12:10  ,    E90  ,                 
143  ,     ft.Arr  ,       KQ503  ,   ACC  ,22:00  ,  16  ,      ,   KYF  ,               , TNR  ,23:24  ,   B738  ,                 
144  ,    ft.Park  ,              ,   ACC  ,23:30  ,  16  ,      ,   KYF  ,               , TNR  ,11:09  ,   B738  ,                 
145  ,     ft.Dep  ,              ,   ACC  ,11:15  ,  16  ,  16  ,   KYF  ,        KQ256  , TNR  ,12:45  ,   B738  ,                 
