idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  
 33  ,    ft.Full  ,       KQ411  ,   EBB  ,11:05  ,  13  ,  13  ,   KQG  ,        KQ412  , EBB  ,12:00  ,   B737  
 34  ,     ft.Arr  ,       KQ413  ,   EBB  ,15:05  ,  15  ,      ,   KQG  ,               ,      ,16:29  ,   B737  
 35  ,    ft.Park  ,              ,   EBB  ,16:35  ,  15  ,      ,   KQG  ,               ,      ,22:23  ,   B737  
 36  ,     ft.Dep  ,              ,   EBB  ,22:29  ,  15  ,      ,   KQG  ,               ,      ,23:59  ,   B737  
 37  ,    ft.Full  ,       KQ415  ,   EBB  ,19:25  , J4B  , 20B  ,   KYQ  ,        KQ488  , DAR  ,22:55  ,    E90  
 38  ,    ft.Full  ,       KQ417  ,   EBB  ,22:15  ,  12  ,  12  ,   FFJ  ,        KQ466  , KGL  ,23:20  ,    E90  
 39  ,    ft.Full  ,       KQ419  ,   EBB  ,06:35  , J3B  ,  15  ,   FFF  ,        KQ432  , JRO  ,08:00  ,    E90  
 40  ,     ft.Arr  ,       KQ433  ,   JRO  ,10:45  ,  20  ,      ,   FFF  ,               , BJM  ,12:09  ,    E90  
 41  ,    ft.Park  ,              ,   JRO  ,12:15  ,  20  ,      ,   FFF  ,               , BJM  ,14:34  ,    E90  
 42  ,     ft.Dep  ,              ,   JRO  ,14:40  ,  20  ,  20  ,   FFF  ,        KQ444  , BJM  ,16:10  ,    E90  
 43  ,    ft.Full  ,       KQ437  ,   JRO  ,22:00  ,  13  ,      ,   KYT  ,               ,      ,23:59  ,    E90  
 44  ,     ft.Arr  ,       KQ444  ,   BJM  ,21:15  ,  14  ,      ,   KYP  ,               , KIS  ,22:39  ,    E90  
